chsh_thr,qber_thr_pct,fp_rate,detect_p005,detect_p020
2.638,2.75,0.00026,0.43942,1.0
2.638,2.85,0.00013,0.36023,1.0
2.638,2.96,7e-05,0.28697,1.0
2.638,3.06,4e-05,0.22206,1.0
2.638,3.17,3e-05,0.16699,1.0
2.638,3.27,3e-05,0.12224,1.0
2.638,3.38,3e-05,0.08742,1.0
2.638,3.48,2e-05,0.06147,1.0
2.638,3.58,2e-05,0.04295,1.0
2.638,3.69,2e-05,0.03029,1.0
2.638,3.79,2e-05,0.02201,1.0
2.638,3.9,2e-05,0.01681,1.0
2.638,4.0,2e-05,0.0137,1.0
2.658,1.5,0.15882,0.99053,1.0
2.658,1.6,0.11364,0.9838,1.0
2.658,1.71,0.07847,0.97333,1.0
2.658,1.81,0.05227,0.95775,1.0
2.658,1.92,0.03357,0.93555,1.0
2.658,2.02,0.02079,0.90522,1.0
2.658,2.12,0.01242,0.86558,1.0
2.658,2.23,0.00718,0.81593,1.0
2.658,2.33,0.00403,0.7564,1.0
2.658,2.44,0.00222,0.68803,1.0
2.658,2.54,0.00122,0.61284,1.0
2.658,2.65,0.0007,0.53364,1.0
2.658,2.75,0.00043,0.45375,1.0
2.658,2.85,0.0003,0.37658,1.0
2.658,2.96,0.00024,0.30519,1.0
2.658,3.06,0.00022,0.24194,1.0
2.658,3.17,0.00021,0.18828,1.0
2.658,3.27,0.0002,0.14468,1.0
2.658,3.38,0.0002,0.11075,1.0
2.658,3.48,0.0002,0.08546,1.0
2.658,3.58,0.0002,0.06741,1.0
2.658,3.69,0.0002,0.05508,1.0
2.658,3.79,0.0002,0.04701,1.0
2.658,3.9,0.0002,0.04195,1.0
2.658,4.0,0.0002,0.03891,1.0
2.679,1.5,0.15972,0.99115,1.0
2.679,1.6,0.11458,0.98487,1.0
2.679,1.71,0.07945,0.97509,1.0
2.679,1.81,0.05328,0.96054,1.0
2.679,1.92,0.03459,0.93979,1.0
2.679,2.02,0.02183,0.91147,1.0
2.679,2.12,0.01347,0.87444,1.0
2.679,2.23,0.00823,0.82807,1.0
2.679,2.33,0.00509,0.77246,1.0
2.679,2.44,0.00328,0.7086,1.0
2.679,2.54,0.00228,0.63836,1.0
2.679,2.65,0.00176,0.56438,1.0
2.679,2.75,0.00149,0.48976,1.0
2.679,2.85,0.00136,0.41768,1.0
2.679,2.96,0.00131,0.351,1.0
2.679,3.06,0.00128,0.29192,1.0
2.679,3.17,0.00127,0.24179,1.0
2.679,3.27,0.00126,0.20106,1.0
2.679,3.38,0.00126,0.16937,1.0
2.679,3.48,0.00126,0.14575,1.0
2.679,3.58,0.00126,0.12889,1.0
2.679,3.69,0.00126,0.11737,1.0
2.679,3.79,0.00126,0.10983,1.0
2.679,3.9,0.00126,0.1051,1.0
2.679,4.0,0.00126,0.10227,1.0
2.7,1.5,0.16388,0.99236,1.0
2.7,1.6,0.11896,0.98692,1.0
2.7,1.71,0.08401,0.97848,1.0
2.7,1.81,0.05797,0.96591,1.0
2.7,1.92,0.03938,0.94798,1.0
2.7,2.02,0.02667,0.92351,1.0
2.7,2.12,0.01836,0.89152,1.0
2.7,2.23,0.01315,0.85145,1.0
2.7,2.33,0.01002,0.80341,1.0
2.7,2.44,0.00822,0.74823,1.0
2.7,2.54,0.00723,0.68755,1.0
2.7,2.65,0.0067,0.62363,1.0
2.7,2.75,0.00644,0.55916,1.0
2.7,2.85,0.00631,0.49689,1.0
2.7,2.96,0.00625,0.43927,1.0
2.7,3.06,0.00623,0.38823,1.0
2.7,3.17,0.00622,0.34492,1.0
2.7,3.27,0.00621,0.30973,1.0
2.7,3.38,0.00621,0.28235,1.0
2.7,3.48,0.00621,0.26194,1.0
2.7,3.58,0.00621,0.24738,1.0
2.7,3.69,0.00621,0.23743,1.0
2.7,3.79,0.00621,0.23091,1.0
2.7,3.9,0.00621,0.22683,1.0
2.7,4.0,0.00621,0.22437,1.0
